id_asegurados;numero;excedente;subgrupo;nombre;f_nacimiento;sueldo;regla_monto;edad;sa_total;sa_topado;basica;basica_covid;extrabas;prima_basica;invalidez;extra_inv;exencion;extra_exe;muerte_acc;extra_acc;valor_gff;valor_gff_covid;extra_gff;prima_gff;prima_ca;extra_ca;prima_ge;extra_ge;prima_iqs;extra_iqa;prima_iqv;extra_iqv
1;80367;35312;47305;Blanco Joyería;2021-10-15;47145;95542;64105;39810;70274;41956;87099;46145;65982;59089;51710;8581;84885;34337;62941;1717;90898;54477;75890;13073;82455;99486;42029;88753;18732;98091;8085
2;8702;69101;2145;Cine Ordenador;2021-10-15;36377;17294;52170;10277;78604;37998;50502;92295;4251;72229;43182;9362;34156;69569;22015;23636;62394;43653;98896;47576;65538;6193;7128;15187;62104;81646;8624
3;63610;51111;14847;Ergonómico payment;2021-10-15;86078;85313;47874;82400;76921;65350;77362;8011;25193;66051;50304;87742;77912;91651;38245;74055;51652;97872;57757;59921;55815;55972;42361;3435;24214;86477;44823
4;65886;92619;3215;Bedfordshire;2021-10-15;54138;65973;42930;33417;29354;42043;66052;39704;36148;56095;90692;15842;23074;57549;82031;55080;1808;80243;5450;77582;7323;50160;3616;61485;44537;73817;48552
5;18898;16883;16595;Moda content deliver;2021-10-16;6558;84306;45069;82846;35828;84525;12191;59997;81343;95534;97347;59693;70813;12005;49796;61139;5947;77452;33115;80510;88097;28204;28335;41879;83797;39611;92326
6;31382;216;67185;XML;2021-10-15;78226;51878;84898;3493;88858;28981;8412;16315;98141;42601;75885;34388;87786;31149;1124;85149;70484;14911;22856;1863;90204;48929;99836;14391;88148;89308;47790
7;10806;36305;67815;Auto;2021-10-16;71524;68996;54689;49461;19470;6456;840;64706;16948;1955;35750;88669;57766;47632;88018;7432;1824;24854;48765;59873;26193;46968;78574;23113;76468;11394;95000
8;58960;10896;91017;Directo;2021-10-15;4355;67787;25867;38447;91872;54529;98406;53904;48489;42677;22990;59872;90460;97615;35093;15551;68386;67976;14289;53211;17567;92863;85736;75255;8504;3691;71675
9;57569;48832;84734;Cliente Guantes;2021-10-15;53591;40490;31457;23471;37399;82951;63986;93682;38353;17067;74725;17805;71958;1441;11993;22078;74756;19482;8870;72373;84224;880;72000;45168;70171;81032;67306
10;87407;92524;4364;Marfil Tajikistan;2021-10-15;85420;57260;80964;94108;11517;49933;17608;23444;56351;55574;58844;91434;54171;76140;213;40536;31726;2392;79224;62144;4828;4069;18862;46324;31067;28349;61228
